Tweet,Sentiment_Score,Date,Stock Movement,Open,High,Low,Close,Volume,Close_Change,Price_Volatility,Sentiment_MA3,Tweet_Count
"Crypto Daily : 

#BTCUSD  Bitcoin back so down  at $102, 036

#ETHUSDT  Ethereum now at $3,253.11

#AAPL  Apple now at $236. 00

#NVDA  Nvidia now at $120. 07

#MSTR MicroStrategy at $334. 79 https://t.co/YUXWyQj8Tf",0.0,2025-01-23,1,223.66000366210938,227.02999877929688,222.3000030517578,224.74000549316406,60234800.0,0.0,2.104652314642279,0.0,1
"Cutoshi barely down, #AAPL barely down. Pockets of relative strength today, despite the broader market's volatility.",0.4939,2025-01-24,0,222.77999877929688,225.6300048828125,221.41000366210938,224.77999877929688,54697900.0,0.0399932861328125,1.8773917802386801,0.24695,1
"Portfolio of January 2025 - Results:
https://t.co/JTBdOm3Iu0

#bestgrowthstocks #bestgrowthstockstobuy #beststocks #aapl #msft #nvda #goog #amzn #meta #tsla #cnbc #nasdaq #crypto #forbes #gold  #invest #investing #metastock #motleyfool #stockmarket #StocksToBuy https://t.co/VFUpiZpOd3",0.0,2025-01-27,1,229.86000061035156,232.14999389648438,223.97999572753906,224.02000427246094,94863400.0,-0.7599945068359375,3.646994917029229,0.16463333333333333,1
"#aapl Like other major US stocks...Apple too looks like coming down to lower levels....See the major rejection at resistance levels..
Do you see how easily we can forecast future support &amp; resistance levels...

Follow if interested to learn and stock updates. #StockMarketIndia… https://t.co/MdrrQUBf5j https://t.co/YndjYr6Utp",0.701,2025-01-28,1,238.25999450683594,240.19000244140625,230.80999755859375,230.85000610351562,75707600.0,6.8300018310546875,4.063246538796453,0.39830000000000004,1
"Following were the Top 5 tickers mentioned on /r/wallstreetbets in the last 24 hours: $NVDA, $SPY, $TSLA, $AMD, $AAPL
The data was fetched at 01/02/2025 13:00:08 PM UTC
#wallstreetbets #StockMarket #Investing, #WallStreet #StockPicks #Stocks #Trading
#NVDA,#SPY,#TSLA,#AMD,#AAPL https://t.co/rJlb6leK8v",0.2023,2025-01-29,1,239.36000061035156,239.86000061035156,234.00999450683594,234.1199951171875,45486100.0,3.269989013671875,2.4987212649596358,0.3011,1
"Apple AR glass Development Setback: What Went Wrong?
#AAPL #META
Apple’s ambitious plans for AR glasses have hit a significant roadblock. The company recently canceled its N107 project, which aimed to create lightweight AR glasses tethered to a Mac for processing power. This… https://t.co/x51zY9lyFR",0.4404,2025-01-30,1,237.58999633789062,240.7899932861328,237.2100067138672,238.6699981689453,55658300.0,4.5500030517578125,1.4999734360124686,0.4479,1
"📉🔻 AAPL/USD Update:
Opening Price: $234.79
Closing Price: $234.79
Change: 0.00% in the last 6 hours.
#Stocks #AAPL #USD",0.0,2025-01-31,0,236.0,247.19000244140625,233.44000244140625,247.19000244140625,100959800.0,8.520004272460938,5.562522700835885,0.21423333333333336,1
